City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kavieng,PG,2021-03-14 22:49:35,-2.5744,150.7967,83.17,67,89,3.2
68,Qaanaaq,GL,2021-03-14 22:47:19,77.484,-69.3632,-5.1,63,100,5.01
69,Provideniya,RU,2021-03-14 22:49:36,64.3833,-173.3,24.13,94,100,9.46
70,Mataura,NZ,2021-03-14 22:49:36,-46.1927,168.8643,57.07,77,100,6.04
71,Rawson,AR,2021-03-14 22:49:36,-43.3002,-65.1023,64.6,63,77,19.17
72,Sibut,CF,2021-03-14 22:49:37,5.718,19.0739,76.93,70,100,3.53
73,Port Alfred,ZA,2021-03-14 22:47:29,-33.5906,26.891,69.01,96,95,7.0
74,Toronto,CA,2021-03-14 22:47:44,43.7001,-79.4163,30.2,40,0,17.78
75,Narbonne,FR,2021-03-14 22:49:38,43.0833,2.8333,48.99,66,7,8.01
76,Mar Del Plata,AR,2021-03-14 22:49:39,-38.0023,-57.5575,70.0,88,0,11.5
77,Longyearbyen,SJ,2021-03-14 22:49:39,78.2186,15.6401,-2.2,65,20,10.36
78,Kontagora,NG,2021-03-14 22:49:40,10.3999,5.4695,83.91,19,89,3.04
79,Khatanga,RU,2021-03-14 22:49:40,71.9667,102.5,-19.95,95,100,10.76
80,Mount Isa,AU,2021-03-14 22:49:41,-20.7333,139.5,71.6,73,90,11.5
81,New Norfolk,AU,2021-03-14 22:49:41,-42.7826,147.0587,66.99,57,92,4.0
82,Torbay,CA,2021-03-14 22:47:59,47.6666,-52.7314,28.99,74,90,4.61
83,Grindavik,IS,2021-03-14 22:49:41,63.8424,-22.4338,37.4,87,75,11.5
84,Sao Caetano De Odivelas,BR,2021-03-14 22:49:42,-0.75,-48.02,76.3,90,58,4.52
85,Victoria,HK,2021-03-14 22:49:42,22.2855,114.1577,69.01,84,93,1.99
86,Lodingen,NO,2021-03-14 22:49:43,68.414,15.9951,35.6,93,90,8.05
87,Tombouctou,ML,2021-03-14 22:49:43,20.0,-3.0,74.05,28,0,8.52
88,Thompson,CA,2021-03-14 22:49:44,55.7435,-97.8558,24.8,36,75,9.22
89,San Cristobal,VE,2021-03-14 22:47:05,7.7669,-72.225,80.6,65,75,4.61
90,Medea,DZ,2021-03-14 22:49:44,36.2642,2.7539,48.2,87,20,2.08
91,Jaipur,IN,2021-03-14 22:49:45,26.9167,75.8167,75.2,35,20,8.05
92,Ponta Do Sol,PT,2021-03-14 22:49:45,32.6667,-17.1,57.0,65,100,3.0
93,Saint George,US,2021-03-14 22:45:10,37.1041,-113.5841,64.0,35,1,16.11
94,Campbell River,CA,2021-03-14 22:45:10,50.0163,-125.2446,39.2,75,75,11.5
95,Mana,GF,2021-03-14 22:49:46,5.6592,-53.7767,76.86,87,100,8.3
96,Cidreira,BR,2021-03-14 22:47:05,-30.1811,-50.2056,73.69,85,22,9.33
97,Lagoa,PT,2021-03-14 22:48:07,39.05,-27.9833,59.74,91,24,14.03
98,Namatanai,PG,2021-03-14 22:49:47,-3.6667,152.4333,84.0,66,67,4.12
99,Galle,LK,2021-03-14 22:49:47,6.0367,80.217,75.51,82,72,7.9
100,Gryazi,RU,2021-03-14 22:48:13,52.4966,39.9359,31.77,88,100,15.28
101,Mahebourg,MU,2021-03-14 22:46:26,-20.4081,57.7,77.0,94,75,10.54
102,Tuktoyaktuk,CA,2021-03-14 22:49:48,69.4541,-133.0374,-16.6,76,20,12.66
103,Hurghada,EG,2021-03-14 22:45:53,27.2574,33.8129,66.2,34,0,8.05
104,Datong,CN,2021-03-14 22:49:49,40.0936,113.2914,29.37,21,58,21.27
105,Yulara,AU,2021-03-14 22:49:49,-25.2406,130.9889,60.8,39,3,9.22
106,Caxias,PT,2021-03-14 22:49:50,38.7031,-9.2767,55.99,87,0,12.66
107,Sakaiminato,JP,2021-03-14 22:49:50,35.55,133.2333,41.0,100,20,5.75
108,Rocha,UY,2021-03-14 22:46:26,-34.4833,-54.3333,61.2,85,0,4.45
109,Zhangye,CN,2021-03-14 22:49:51,38.9342,100.4517,41.7,40,0,3.96
110,Saint-Georges,GD,2021-03-14 22:49:51,12.0564,-61.7485,78.8,78,75,11.5
111,Tandil,AR,2021-03-14 22:49:52,-37.3217,-59.1332,73.0,52,47,3.0
112,Vila,PT,2021-03-14 22:47:19,42.0304,-8.1588,46.0,84,1,5.01
113,Hervey Bay,AU,2021-03-14 22:49:52,-25.2986,152.8535,80.01,82,43,3.0
114,Bethel,US,2021-03-14 22:46:09,41.3712,-73.414,33.01,52,66,1.99
115,Songea,TZ,2021-03-14 22:49:53,-10.6833,35.65,68.0,94,40,2.06
116,Sao Joao Da Barra,BR,2021-03-14 22:46:25,-21.6403,-41.0511,76.71,85,32,12.17
117,Rovaniemi,FI,2021-03-14 22:49:53,66.5,25.7167,24.8,93,90,1.14
118,Itarema,BR,2021-03-14 22:49:54,-2.9248,-39.9167,78.37,81,18,9.28
119,Huangmei,CN,2021-03-14 22:49:54,30.1924,116.025,60.46,93,78,3.91
120,Vila Velha,BR,2021-03-14 22:45:41,-20.3297,-40.2925,80.6,69,75,5.75
121,Cabo San Lucas,MX,2021-03-14 22:45:42,22.8909,-109.9124,75.0,40,20,8.05
122,Port-Gentil,GA,2021-03-14 22:49:55,-0.7193,8.7815,80.38,80,55,0.85
123,North Bend,US,2021-03-14 22:49:55,43.4065,-124.2243,42.8,87,90,13.8
124,Nalut,LY,2021-03-14 22:47:06,30.3333,10.85,58.6,49,10,12.8
125,Northam,GB,2021-03-14 22:46:07,51.0333,-4.2167,48.99,91,85,11.99
126,Kholtoson,RU,2021-03-14 22:49:56,50.2981,103.3097,0.43,73,0,2.39
127,Talagang,PK,2021-03-14 22:49:56,32.9297,72.4158,56.89,64,0,3.89
128,Bredasdorp,ZA,2021-03-14 22:49:57,-34.5322,20.0403,66.2,94,99,8.05
129,Jamame,SO,2021-03-14 22:49:57,0.0722,42.7506,76.32,83,66,9.08
130,Koslan,RU,2021-03-14 22:49:58,63.4564,48.8989,24.35,94,98,7.2
131,Umm Lajj,SA,2021-03-14 22:49:58,25.0213,37.2685,75.2,57,61,4.63
132,Saint-Paul-Les-Dax,FR,2021-03-14 22:49:58,43.7272,-1.0516,46.0,93,56,3.44
133,Goderich,CA,2021-03-14 22:49:59,43.7501,-81.7165,28.4,59,8,17.27
134,Hasaki,JP,2021-03-14 22:49:59,35.7333,140.8333,44.6,61,20,6.91
135,Montepuez,MZ,2021-03-14 22:50:00,-13.1256,38.9997,68.65,98,100,2.28
136,Pointe Michel,DM,2021-03-14 22:50:00,15.25,-61.3833,78.8,78,20,3.44
137,Vanavara,RU,2021-03-14 22:50:00,60.34,102.2797,4.5,93,100,11.01
138,Puerto Narino,CO,2021-03-14 22:50:01,-3.7703,-70.3831,77.5,92,100,0.96
139,Barcelos,PT,2021-03-14 22:48:03,41.5388,-8.6151,52.0,93,0,6.91
140,Barrow,US,2021-03-14 22:45:01,71.2906,-156.7887,-5.8,77,1,14.97
141,Novobiryusinskiy,RU,2021-03-14 22:50:02,56.9578,97.7076,-2.83,97,64,3.58
142,Berlevag,NO,2021-03-14 22:47:18,70.8578,29.0864,26.6,86,90,3.44
143,Dikson,RU,2021-03-14 22:50:02,73.5069,80.5464,-25.73,99,100,11.36
144,Turiacu,BR,2021-03-14 22:50:03,-1.6633,-45.3717,74.97,91,47,3.91
145,Dhidhdhoo,MV,2021-03-14 22:50:03,6.8833,73.1,82.54,71,49,9.89
146,Garowe,SO,2021-03-14 22:50:04,8.4054,48.4845,66.74,91,68,9.84
147,Cayenne,GF,2021-03-14 22:50:04,4.9333,-52.3333,75.99,94,75,2.3
148,Najran,SA,2021-03-14 22:47:45,17.4924,44.1277,66.2,34,0,2.3
149,Suntar,RU,2021-03-14 22:48:25,62.1444,117.6319,-12.32,88,39,8.7
150,Omsukchan,RU,2021-03-14 22:50:05,62.5333,155.8,-0.78,68,92,3.42
151,Jalu,LY,2021-03-14 22:46:29,29.0331,21.5482,57.4,56,0,9.04
152,Santa Rosa,PH,2021-03-14 22:50:06,14.3122,121.1114,78.8,83,40,2.3
153,Mount Gambier,AU,2021-03-14 22:46:34,-37.8333,140.7667,59.0,94,90,6.91
154,Lucapa,AO,2021-03-14 22:50:06,-8.4192,20.7447,65.19,93,94,2.73
155,Saint-Paul,RE,2021-03-14 22:50:06,-21.0096,55.2707,78.8,73,75,13.8
156,Kavaratti,IN,2021-03-14 22:50:07,10.5669,72.642,82.47,68,9,4.34
157,Baracoa,CU,2021-03-14 22:50:07,20.3467,-74.4958,74.35,81,20,9.13
158,Quelimane,MZ,2021-03-14 22:50:08,-17.8786,36.8883,72.79,94,32,2.28
159,Reconquista,AR,2021-03-14 22:50:08,-29.15,-59.65,82.63,41,11,7.74
160,Kibala,TD,2021-03-14 22:50:08,9.1104,18.3463,87.8,42,0,6.91
161,Wazirganj,IN,2021-03-14 22:50:09,28.2167,79.05,65.01,25,0,6.67
162,Novoselytsya,UA,2021-03-14 22:50:09,48.2193,26.2653,43.0,80,99,4.27
